EIC;Name;MeteringPointCode_Prefix
19XGORAZDZE-CEMM;G”RAØDØE CEMENT SP”£KA AKCYJNA;
19XHUTA-BANKOWA8;HUTA BANKOWA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPADRESSTARGAP;PAD RES STARGARD DYSTRYBUCJA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPL00000ESV7-Y;ESV7 Sp. z o.o.;
19XPL00000ESV9-S;ESV9 Sp. z o.o.;
19XSOPLA-OSDN-17;SOPLA SP ZOO;
19XTBENERGIA000S;TB ENERGIA SP. Z O.O.;
19XVEOLIA-LODZ-0;VEOLIA ENERGIA £”Dè SP”£KA AKCYJNA;
19X1997ENST19970;"ZAK£AD ENERGOELEKTRYCZNY ""ENERGO-STIL"" SP”£KA Z OGRANICZON• ODPOWIED";
19X5782593866--5;ZAK£AD US£UG TECHNICZNYCH MEGA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XECMIELEC----2;ELEKTROCIEPLOWNIA MIELEC SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;
19XELANA-OSDNXXJ;BORYSZEW GREEN ENERGY&GAS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XENERGIA-TIEWD;TOWARZYSTWO INWESTYCYJNE ELEKTROWNIA WSCH”D S.A.;
19XENWOS-------7;PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ I GOSPODARKI WODNO-åCIEKOWEJ EÖ;
19XERG-SA-DG---H;ERG SA;
19X-PL-GGL-GLD-4;Green-Lights Dystrybucja spÛ≥ka z oganiczonπ odpowiedzialnoúciπ;
19X-WE-ZCP----14;W GLOKOKS ENERGIA ZCP sp. z o.o.;
19X000000ENELUBW;"""ENERGETYKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•""";
19XKOK---------5;JSW KOKS S.A.;
19XOSDN5990013T2;ZKLASTER DYSTRYBUCJA SP.Z O.O,;
19XPAL1SPZOO--12;PAL1 SP.ZO.O.;
19XPGNIG-TEP-SA9;PGNIG TERMIKA ENERGETYKA PRZEMYS£OWA SP”£KA AKCYJNA;
19XPL-ZROSTRPPHN;"PRZEDSI BIORSTWO PRODUKCYJNO-HANDLOWO-US£UGOWE ""ADM"" S.C.";
19XPL00000ESV4-6;ESV4 Sp. z o.o.;
19XPL00000ESV8-V;ESV8 Sp. z o.o.;
19XPL00000GONAR9;GONAR - BIS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPLUS-ENERGIAL;PLUS ENERGIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
